NM_LOCAL_VOTACAO,NM_VOTAVEL,QT_VOTOS
3.Santa Eugenia até Seabra,LILIAN CRISTIANE ALVES RIBEIRO,5
3.Santa Eugenia até Seabra,LILIAN SOLEDAD DA SILVA DE SOUZA,47
3.Santa Eugenia até Seabra,LIRIAN MARCIA DA CONCEIÇÃO TAFURI,1
3.Santa Eugenia até Seabra,LUCIANO LARA VIEIRA,42
3.Santa Eugenia até Seabra,LUIZ ALBERTO FERREIRA,2
3.Santa Eugenia até Seabra,LUIZ BERBIZ DE OLIVEIRA,76
3.Santa Eugenia até Seabra,LUIZ FELIPE DA SILVA,61
3.Santa Eugenia até Seabra,LUIZ HUMBERTO MAZÃO JUNIOR,12
3.Santa Eugenia até Seabra,MANOEL MESSIAS DE ALMEIDA,20
3.Santa Eugenia até Seabra,MARCELO DA SILVA RAMOS,40
3.Santa Eugenia até Seabra,MARCELO DOS SANTOS CONCEIÇÃO,7
3.Santa Eugenia até Seabra,MARCOS SIQUEIRA GONÇALVES,8
3.Santa Eugenia até Seabra,MARCUS VINICIUS PEREIRA,19
3.Santa Eugenia até Seabra,MARIA DAS DORES DE OLIVEIRA,4
3.Santa Eugenia até Seabra,MARIA DE LOURDES NASCIMENTO,1
3.Santa Eugenia até Seabra,MARIA DO ROSARIO LISBOA GONÇALVES,15
3.Santa Eugenia até Seabra,MARIA DOLORES CAPARROZ,2
3.Santa Eugenia até Seabra,MARIA EUNICE OLIVEIRA DOS SANTOS,6
3.Santa Eugenia até Seabra,MARIA MADALENA BELISSE,1
3.Santa Eugenia até Seabra,MARIA PAULA PEREIRA KOUKDJIAN,102
3.Santa Eugenia até Seabra,MARIA REGINA CORREIA,2
3.Santa Eugenia até Seabra,MARINETE PEREIRA DOS SANTOS,1
3.Santa Eugenia até Seabra,MARLENE APARECIDA DE SOUZA ZERTUS,31
3.Santa Eugenia até Seabra,MARTA DA CONCEIÇÃO DA SILVA SILVEIRA ANDRADE,70
3.Santa Eugenia até Seabra,MAURO WILLIANS KHATAUNIAN,27
3.Santa Eugenia até Seabra,MEIRIANE OLIVEIRA MARTINS SILVA,1
3.Santa Eugenia até Seabra,MIRELLA KEZIA SOUZA FELIX DE LIMA,1
3.Santa Eugenia até Seabra,MIRIAM LARUCCIA DOS SANTOS,7
3.Santa Eugenia até Seabra,MURILO MATOS SEABRA,129
3.Santa Eugenia até Seabra,Movimento Democrático Brasileiro,8
3.Santa Eugenia até Seabra,ODIRLEY VASCÃO,39
3.Santa Eugenia até Seabra,OSVALDO DE FREITAS FERREIRA,84
3.Santa Eugenia até Seabra,PATRICIA GLEICI ALBERTO SOBOYEJO,6
3.Santa Eugenia até Seabra,PAULO HENRIQUE MARTINS,70
3.Santa Eugenia até Seabra,PAULO HENRIQUE VILELA,16
3.Santa Eugenia até Seabra,PAULO SERGIO SANTOS FREITAS,2
3.Santa Eugenia até Seabra,PEROLA CRISTIANE LEMES DE LUCENA,3
3.Santa Eugenia até Seabra,PROGRESSISTAS,68
3.Santa Eugenia até Seabra,Partido Democrático Trabalhista,11
3.Santa Eugenia até Seabra,Partido Liberal,17
3.Santa Eugenia até Seabra,Partido Novo,11
3.Santa Eugenia até Seabra,Partido Social Democrático,4
3.Santa Eugenia até Seabra,Partido Socialista Brasileiro,6
3.Santa Eugenia até Seabra,Partido Verde,2
3.Santa Eugenia até Seabra,Partido da Social Democracia Brasileira,2
3.Santa Eugenia até Seabra,Partido dos Trabalhadores,19
3.Santa Eugenia até Seabra,Podemos,9
3.Santa Eugenia até Seabra,QUESIA CAMPOS DOS REIS,42
3.Santa Eugenia até Seabra,RANIERIK FERNANDES DE LIMA,124
3.Santa Eugenia até Seabra,RENATA DE LIMA SANTANA DIAS,4
3.Santa Eugenia até Seabra,RENATO CARVALHO DONATO,88
3.Santa Eugenia até Seabra,RENATO PORTELA ARAÚJO,87
3.Santa Eugenia até Seabra,REPUBLICANOS,18
3.Santa Eugenia até Seabra,RIVANILCE DE SOUZA OLIVEIRA,9
3.Santa Eugenia até Seabra,ROBERTA MOREIRA DE ALMEIDA,26
3.Santa Eugenia até Seabra,RODRIGO IRLANDO RODRIGUES FURTADO,213
3.Santa Eugenia até Seabra,RODRIGO MARCELO RODRIGUES,4
3.Santa Eugenia até Seabra,ROSANGELA APARECIDA RIBEIRO DE MATOS,1
3.Santa Eugenia até Seabra,ROSANGELA FÁTIMA MONTE RIBEIRO,20
3.Santa Eugenia até Seabra,ROSEMARY DE SOUZA SILVA SANTOS,7
3.Santa Eugenia até Seabra,SERGIO GUEDES,19
3.Santa Eugenia até Seabra,SILVIO BAYEUX DA SILVA NETO,3
3.Santa Eugenia até Seabra,SILVIO VIANA VIEIRA,41
3.Santa Eugenia até Seabra,SIMONE CRISTINA DE MELO,18
3.Santa Eugenia até Seabra,Solidariedade,1
3.Santa Eugenia até Seabra,TATHIANE TUPINA PRETTYMAN FRAGA MOREIRA,10
3.Santa Eugenia até Seabra,THIAGO AUGUSTO DOS SANTOS,17
3.Santa Eugenia até Seabra,THYAGO JACOB DOS ANJOS PEREIRA,62
3.Santa Eugenia até Seabra,União Brasil,33
3.Santa Eugenia até Seabra,VALDOMIRO VICTONI JUNIOR,31
3.Santa Eugenia até Seabra,VALQUIRIO SANTOS PEREIRA FILHO,6
3.Santa Eugenia até Seabra,VALTER SILVA DE LIRA,4
3.Santa Eugenia até Seabra,VANDERLEI ALVES CARDOSO,1
3.Santa Eugenia até Seabra,VANDERLEI GOMES BARBOZA,12
3.Santa Eugenia até Seabra,VANDERLEY DE OLIVEIRA AMORIM,5
3.Santa Eugenia até Seabra,VOTO BRANCO,173
3.Santa Eugenia até Seabra,VOTO NULO,174
3.Santa Eugenia até Seabra,WAGNER LACERDA FERREIRA,8
3.Santa Eugenia até Seabra,WAGNER MARTINS DOS REIS,7
3.Santa Eugenia até Seabra,WALTER LUIZ DA COSTA,31
3.Santa Eugenia até Seabra,WILSON ANTÔNIO REFUNDINI JUNIOR,6
3.Santa Eugenia até Seabra,WILSON DOS SANTOS,2
3.Santa Eugenia até Seabra,WILTON CARNEIRO DE OLIVEIRA,15
4.Atlantica até Aguapeu,ABNER ALMEIDA BEZERRA,3
4.Atlantica até Aguapeu,ABRAÃO GONÇALVES,6
4.Atlantica até Aguapeu,ADEILSON JOSE DA SILVA,77
4.Atlantica até Aguapeu,ADEILTON SANTIAGO,15
4.Atlantica até Aguapeu,ADEMILSON APARECIDO VIEIRA,15
4.Atlantica até Aguapeu,ADRIANA APARECIDA DE ALMEIDA POSSI,2
4.Atlantica até Aguapeu,ADRIANA DE ALENCAR,5
4.Atlantica até Aguapeu,ADRIANO DA SILVA JORGE,11
4.Atlantica até Aguapeu,AGILENE DA SILVA,4
4.Atlantica até Aguapeu,AGIR,1
4.Atlantica até Aguapeu,ALDENI DOS SANTOS COSTA,8
4.Atlantica até Aguapeu,ALESSANDRA CRISTINA FANTE,4
4.Atlantica até Aguapeu,ALEX GONÇALVES DE ARAÚJO,1
4.Atlantica até Aguapeu,ALEX MARCELO DOS SANTOS,65
4.Atlantica até Aguapeu,ALEXANDRE DA SILVA GUERRA,131
4.Atlantica até Aguapeu,ALEXANDRE MONTEIRO DA SILVA,6
4.Atlantica até Aguapeu,ALEXANDRE NADDEO,2
4.Atlantica até Aguapeu,ALINE CRISTINA SOUZA LIMA OTÁVIO,4
4.Atlantica até Aguapeu,ALINI ARAUJO ONORIO,126
4.Atlantica até Aguapeu,ANDERSON GONÇALVES DA ROCHA,45
4.Atlantica até Aguapeu,ANDERSON LUIZ DE OLIVEIRA,177
4.Atlantica até Aguapeu,ANDRE DA SILVA ROCHA,7
4.Atlantica até Aguapeu,ANDREA MENDES SALVINO,11
4.Atlantica até Aguapeu,ANDREY HENRICK SIVIDANES RAMOS DE LIMA,3
4.Atlantica até Aguapeu,ANDRÉA APARECIDA INDRIGO,3
4.Atlantica até Aguapeu,ANGELA MARIA DA SILVA,3
4.Atlantica até Aguapeu,ANTONIO VALVERDE JUNIOR,1
4.Atlantica até Aguapeu,APARECIDO SANTANA DA SILVA,197
4.Atlantica até Aguapeu,ARGEO ARIAS RODRIGUES FILHO,5
4.Atlantica até Aguapeu,AUREO TADEUS DA SILVA,117
4.Atlantica até Aguapeu,AURIVALDO JOSE DOS SANTOS,91
4.Atlantica até Aguapeu,BALDUINO RODRIGUES DINIZ,76
4.Atlantica até Aguapeu,CARLOS EDUARDO HUBNER DE OLIVEIRA,63
4.Atlantica até Aguapeu,CARLOS EDUARDO VENANCIO PIRES DE MAGALHÃES,42
4.Atlantica até Aguapeu,CARLOS JACÓ ROCHA,136
4.Atlantica até Aguapeu,CARLOS NOGUEIRA DA SILVA,9
4.Atlantica até Aguapeu,CELSO LUIZ GONZAGA,10
4.Atlantica até Aguapeu,CIBELE FRANCO NAZARETH,1
4.Atlantica até Aguapeu,CLAUDETE BATISTA DE SOUZA,1
4.Atlantica até Aguapeu,CLAUDIA APARECIDA DIAS,6
4.Atlantica até Aguapeu,CLAUDIA GREGÓRIO DA CRUZ,21
4.Atlantica até Aguapeu,CLAUDIA LUCIANA DA SILVA MINEIRO MUNIZ,14
4.Atlantica até Aguapeu,CYNTHIA FERNANDA MOTA,1
4.Atlantica até Aguapeu,Cidadania,2
4.Atlantica até Aguapeu,DAIANA CRISTINA FRANZEM ANDRELO,44
4.Atlantica até Aguapeu,DANIEL SOARES DA SILVA,41
4.Atlantica até Aguapeu,DAVID JOSÉ DOS SANTOS,3
4.Atlantica até Aguapeu,DIEGO MARTINS DOMINGUES,92
4.Atlantica até Aguapeu,DIEGO ROBERTO ALVES SAES,9
4.Atlantica até Aguapeu,DURVALENO DEUSDARA BRITO,94
4.Atlantica até Aguapeu,Democracia Cristã,1
4.Atlantica até Aguapeu,EDICARLOS FELISMINO,321
4.Atlantica até Aguapeu,EDILSON TONON D ALMEIDA,184
4.Atlantica até Aguapeu,EDIMILSON JOAQUIM JUSTINIANO,4
4.Atlantica até Aguapeu,EDSON NASCIMENTO DA HORA JUNIOR,7
4.Atlantica até Aguapeu,EDUARDO ALVES MENNUCCI,25
4.Atlantica até Aguapeu,EDUARDO SANTANA ROQUE DA SILVA,152
4.Atlantica até Aguapeu,ELAINE ALVES DE ARRUDA,15
4.Atlantica até Aguapeu,ELI DE SOUZA SILVA,5
4.Atlantica até Aguapeu,ELIANE MARÇAL LOPES,26
4.Atlantica até Aguapeu,ELISEU MARTINS DE JESUS GOMES,5
4.Atlantica até Aguapeu,ELIZABETH AUGUSTA SIMÕES,7
4.Atlantica até Aguapeu,ENEDINA DOS PASSOS E PAZ,4
4.Atlantica até Aguapeu,FABIO DO CARMO CEZAR,5
4.Atlantica até Aguapeu,FABIO RIBEIRO ARENA,140
4.Atlantica até Aguapeu,FERNANDA RAMIRES KLAESENER,8
4.Atlantica até Aguapeu,FERNANDO ACCIOLY MONTEIRO DE ALCANTARA,90
4.Atlantica até Aguapeu,FLAVIO ELEANDRO SANTANA PASSOS,41
4.Atlantica até Aguapeu,FRANCISCA AUDIRENE ROCHA PORTELA,2
4.Atlantica até Aguapeu,FRANCISCA ELIAS DA SILVA,17
4.Atlantica até Aguapeu,FRANCISCO DOUGLAS SANTOS CAMPOS,34
4.Atlantica até Aguapeu,FRANCISCO FRAGOSO,70
4.Atlantica até Aguapeu,FRANCISCO INALDO FALCÃO,160
4.Atlantica até Aguapeu,GABRIELLA TAVARES DE LIMA LELLIS E SILVA,33
4.Atlantica até Aguapeu,GABRIELLY MALGUEIRO LOPEZ VAZ,1
4.Atlantica até Aguapeu,GEOVANA CRISTINA SALES DE LIMA,94
4.Atlantica até Aguapeu,GILMAR AGUIAR FREITAS,51
4.Atlantica até Aguapeu,GILVAN NUNES SOARES,1
4.Atlantica até Aguapeu,GLIMBER MATTOS DE CARVALHO,4
4.Atlantica até Aguapeu,GRAZIELA APARECIDA ROSA DE OLIVEIRA,6
4.Atlantica até Aguapeu,GUSTAVO RIBEIRO CORREIA,6
4.Atlantica até Aguapeu,IRACI FAVERO,4
4.Atlantica até Aguapeu,IVONETE DE LIMA SANTOS,21
4.Atlantica até Aguapeu,JEAN GABRIEL FIDELIS MOURA,7
4.Atlantica até Aguapeu,JOCY BARBOSA DA SILVA JUNIOR,39
4.Atlantica até Aguapeu,JONATHAN OLIVEIRA SILVA,68
4.Atlantica até Aguapeu,JOSE COSMO DOS SANTOS,5
4.Atlantica até Aguapeu,JOSE ENILDO DE SOUZA,47
4.Atlantica até Aguapeu,JOSE FRANCISCO BOAVENTURA,1
4.Atlantica até Aguapeu,JOSEFA VITORINO DA SILVA,7
4.Atlantica até Aguapeu,JOSÉ BENJAMIN OVIN VEGA JUNIOR,1
4.Atlantica até Aguapeu,JOSÉ CARLOS DOS SANTOS,7
4.Atlantica até Aguapeu,JOSÉ HELENO DOS SANTOS JUNIOR,3
4.Atlantica até Aguapeu,JOSÉ JORGE SALOMÃO TEXEIRA,49
4.Atlantica até Aguapeu,JOSÉ PEDRO FACCINA,90
4.Atlantica até Aguapeu,JOÃO CARLOS BATISTA DE SOUZA,81
4.Atlantica até Aguapeu,JOÃO DA SILVA GUABIRABA,1
4.Atlantica até Aguapeu,JOÃO MARTINS DOS ANJOS,7
4.Atlantica até Aguapeu,JOÃO SILVA DE SOUZA,1
4.Atlantica até Aguapeu,JULIANA SOARES DE PAULA,2
4.Atlantica até Aguapeu,JURANDIR DE ALMEIDA FORTES,5
4.Atlantica até Aguapeu,KATE MIRANDA KOPCHAK,17
4.Atlantica até Aguapeu,KELLY DE LIRA CAPATTO,32
4.Atlantica até Aguapeu,LAÉRCIO PAIVA,4
4.Atlantica até Aguapeu,LEONARDO RODRIGO LIMA DOS SANTOS,18
4.Atlantica até Aguapeu,LIAMARA ZUBIA CHILA,11
4.Atlantica até Aguapeu,LILIAN CRISTIANE ALVES RIBEIRO,3
4.Atlantica até Aguapeu,LILIAN SOLEDAD DA SILVA DE SOUZA,36
4.Atlantica até Aguapeu,LIRIAN MARCIA DA CONCEIÇÃO TAFURI,1
4.Atlantica até Aguapeu,LUCIANO LARA VIEIRA,59
4.Atlantica até Aguapeu,LUCIMARA SILVA LIRA,7
4.Atlantica até Aguapeu,LUIZ ALBERTO FERREIRA,6
4.Atlantica até Aguapeu,LUIZ BERBIZ DE OLIVEIRA,100
4.Atlantica até Aguapeu,LUIZ FELIPE DA SILVA,141
4.Atlantica até Aguapeu,MANOEL MESSIAS DE ALMEIDA,6
4.Atlantica até Aguapeu,MARCELO DA SILVA RAMOS,74
4.Atlantica até Aguapeu,MARCELO DOS SANTOS CONCEIÇÃO,6
4.Atlantica até Aguapeu,MARCELO PIRES FERREIRA,3
4.Atlantica até Aguapeu,MARCIA GERUSA DA SILVA LIMA,1
4.Atlantica até Aguapeu,MARCOS SIQUEIRA GONÇALVES,6
4.Atlantica até Aguapeu,MARCUS VINICIUS PEREIRA,39
4.Atlantica até Aguapeu,MARIA DAS DORES DE OLIVEIRA,11
4.Atlantica até Aguapeu,MARIA DE LOURDES NASCIMENTO,1
4.Atlantica até Aguapeu,MARIA DO ROSARIO LISBOA GONÇALVES,32
4.Atlantica até Aguapeu,MARIA DOLORES CAPARROZ,4
4.Atlantica até Aguapeu,MARIA EUNICE OLIVEIRA DOS SANTOS,14
4.Atlantica até Aguapeu,MARIA PAULA PEREIRA KOUKDJIAN,200
4.Atlantica até Aguapeu,MARIA REGINA CORREIA,1
4.Atlantica até Aguapeu,MARLENE APARECIDA DE SOUZA ZERTUS,17
4.Atlantica até Aguapeu,MARTA DA CONCEIÇÃO DA SILVA SILVEIRA ANDRADE,11
4.Atlantica até Aguapeu,MAURO WILLIANS KHATAUNIAN,15
4.Atlantica até Aguapeu,MEIRIANE OLIVEIRA MARTINS SILVA,2
4.Atlantica até Aguapeu,MIRIAM LARUCCIA DOS SANTOS,2
4.Atlantica até Aguapeu,MURILO MATOS SEABRA,267
4.Atlantica até Aguapeu,Movimento Democrático Brasileiro,6
4.Atlantica até Aguapeu,ODIRLEY VASCÃO,17
4.Atlantica até Aguapeu,OSVALDO DE FREITAS FERREIRA,88
4.Atlantica até Aguapeu,PATRICIA GLEICI ALBERTO SOBOYEJO,13
4.Atlantica até Aguapeu,PAULO HENRIQUE MARTINS,83
4.Atlantica até Aguapeu,PAULO HENRIQUE VILELA,1
4.Atlantica até Aguapeu,PAULO SERGIO SANTOS FREITAS,1
4.Atlantica até Aguapeu,PEROLA CRISTIANE LEMES DE LUCENA,2
4.Atlantica até Aguapeu,PROGRESSISTAS,67
4.Atlantica até Aguapeu,Partido Comunista do Brasil,1
4.Atlantica até Aguapeu,Partido Democrático Trabalhista,6
4.Atlantica até Aguapeu,Partido Liberal,18
4.Atlantica até Aguapeu,Partido Novo,11
4.Atlantica até Aguapeu,Partido Social Democrático,2
4.Atlantica até Aguapeu,Partido Socialista Brasileiro,6
4.Atlantica até Aguapeu,Partido Verde,1
4.Atlantica até Aguapeu,Partido da Social Democracia Brasileira,3
4.Atlantica até Aguapeu,Partido dos Trabalhadores,18
4.Atlantica até Aguapeu,Podemos,6
4.Atlantica até Aguapeu,QUESIA CAMPOS DOS REIS,18
4.Atlantica até Aguapeu,RANIERIK FERNANDES DE LIMA,115
4.Atlantica até Aguapeu,RENATA DE LIMA SANTANA DIAS,5
4.Atlantica até Aguapeu,RENATO CARVALHO DONATO,108
4.Atlantica até Aguapeu,RENATO PORTELA ARAÚJO,99
4.Atlantica até Aguapeu,REPUBLICANOS,30
4.Atlantica até Aguapeu,RIVANILCE DE SOUZA OLIVEIRA,30
4.Atlantica até Aguapeu,ROBERTA MOREIRA DE ALMEIDA,52
4.Atlantica até Aguapeu,RODRIGO IRLANDO RODRIGUES FURTADO,119
4.Atlantica até Aguapeu,RODRIGO MARCELO RODRIGUES,2
4.Atlantica até Aguapeu,ROSANGELA APARECIDA RIBEIRO DE MATOS,5
4.Atlantica até Aguapeu,ROSANGELA FÁTIMA MONTE RIBEIRO,10
4.Atlantica até Aguapeu,ROSEMARY DE SOUZA SILVA SANTOS,3
4.Atlantica até Aguapeu,SERGIO GUEDES,16
4.Atlantica até Aguapeu,SILVIO BAYEUX DA SILVA NETO,4
4.Atlantica até Aguapeu,SILVIO VIANA VIEIRA,19
4.Atlantica até Aguapeu,SIMONE CRISTINA DE MELO,15
4.Atlantica até Aguapeu,SONIA RIBEIRO DE PÁDUA,1
4.Atlantica até Aguapeu,Solidariedade,2
4.Atlantica até Aguapeu,SÉRGIO NATALINO DE FREITAS JUNIOR,1
4.Atlantica até Aguapeu,TATHIANE TUPINA PRETTYMAN FRAGA MOREIRA,11
4.Atlantica até Aguapeu,THIAGO AUGUSTO DOS SANTOS,2
4.Atlantica até Aguapeu,THYAGO JACOB DOS ANJOS PEREIRA,60
4.Atlantica até Aguapeu,UBIRACI LOUREIRO SARZEDAS,3
4.Atlantica até Aguapeu,União Brasil,39
4.Atlantica até Aguapeu,VALDOMIRO VICTONI JUNIOR,44
4.Atlantica até Aguapeu,VALQUIRIO SANTOS PEREIRA FILHO,32
4.Atlantica até Aguapeu,VALTER SILVA DE LIRA,2
4.Atlantica até Aguapeu,VANDERLEI GOMES BARBOZA,11
4.Atlantica até Aguapeu,VANDERLEY DE OLIVEIRA AMORIM,3
4.Atlantica até Aguapeu,VOTO BRANCO,201
4.Atlantica até Aguapeu,VOTO NULO,202
4.Atlantica até Aguapeu,WAGNER LACERDA FERREIRA,6
4.Atlantica até Aguapeu,WAGNER MARTINS DOS REIS,52
4.Atlantica até Aguapeu,WALTER LUIZ DA COSTA,49
4.Atlantica até Aguapeu,WILSON ANTÔNIO REFUNDINI JUNIOR,2
4.Atlantica até Aguapeu,WILSON DOS SANTOS,2
4.Atlantica até Aguapeu,WILTON CARNEIRO DE OLIVEIRA,23
5.Samoa até a Divisa,ABNER ALMEIDA BEZERRA,7
5.Samoa até a Divisa,ABRAÃO GONÇALVES,8
5.Samoa até a Divisa,ADEILSON JOSE DA SILVA,59
5.Samoa até a Divisa,ADEILTON SANTIAGO,13
5.Samoa até a Divisa,ADEMILSON APARECIDO VIEIRA,25
5.Samoa até a Divisa,ADRIANA APARECIDA DE ALMEIDA POSSI,2
5.Samoa até a Divisa,ADRIANA DE ALENCAR,2
5.Samoa até a Divisa,ADRIANO DA SILVA JORGE,27
5.Samoa até a Divisa,AGILENE DA SILVA,4
5.Samoa até a Divisa,ALBERTO PEREIRA DE SANTANA,8
5.Samoa até a Divisa,ALDENI DOS SANTOS COSTA,14
5.Samoa até a Divisa,ALESSANDRA CRISTINA FANTE,5
5.Samoa até a Divisa,ALEX GONÇALVES DE ARAÚJO,4
5.Samoa até a Divisa,ALEX MARCELO DOS SANTOS,74
5.Samoa até a Divisa,ALEXANDRE DA SILVA GUERRA,152
5.Samoa até a Divisa,ALEXANDRE MONTEIRO DA SILVA,10
5.Samoa até a Divisa,ALEXANDRE NADDEO,3
5.Samoa até a Divisa,ALINE CRISTINA SOUZA LIMA OTÁVIO,2
5.Samoa até a Divisa,ALINI ARAUJO ONORIO,120
5.Samoa até a Divisa,ANDERSON GONÇALVES DA ROCHA,34
5.Samoa até a Divisa,ANDERSON LUIZ DE OLIVEIRA,304
5.Samoa até a Divisa,ANDRE DA SILVA ROCHA,14
5.Samoa até a Divisa,ANDREA MENDES SALVINO,16
5.Samoa até a Divisa,ANDRÉA APARECIDA INDRIGO,5
5.Samoa até a Divisa,ANGELA MARIA DA SILVA,2
5.Samoa até a Divisa,ANTONIO VALVERDE JUNIOR,12
5.Samoa até a Divisa,APARECIDO SANTANA DA SILVA,316
5.Samoa até a Divisa,ARGEO ARIAS RODRIGUES FILHO,56
5.Samoa até a Divisa,AUREO TADEUS DA SILVA,149
5.Samoa até a Divisa,AURIVALDO JOSE DOS SANTOS,104
5.Samoa até a Divisa,BALDUINO RODRIGUES DINIZ,330
5.Samoa até a Divisa,CARLOS EDUARDO HUBNER DE OLIVEIRA,64
5.Samoa até a Divisa,CARLOS EDUARDO VENANCIO PIRES DE MAGALHÃES,85
5.Samoa até a Divisa,CARLOS JACÓ ROCHA,139
5.Samoa até a Divisa,CARLOS NOGUEIRA DA SILVA,17
5.Samoa até a Divisa,CELSO LUIZ GONZAGA,5
5.Samoa até a Divisa,CLAUDETE BATISTA DE SOUZA,4
5.Samoa até a Divisa,CLAUDIA APARECIDA DIAS,3
5.Samoa até a Divisa,CLAUDIA GREGÓRIO DA CRUZ,23
5.Samoa até a Divisa,CLAUDIA LUCIANA DA SILVA MINEIRO MUNIZ,35
5.Samoa até a Divisa,Cidadania,1
5.Samoa até a Divisa,DAIANA CRISTINA FRANZEM ANDRELO,58
5.Samoa até a Divisa,DANIEL SOARES DA SILVA,76
5.Samoa até a Divisa,DAVID JOSÉ DOS SANTOS,1
5.Samoa até a Divisa,DIEGO MARTINS DOMINGUES,161
5.Samoa até a Divisa,DIEGO ROBERTO ALVES SAES,13
5.Samoa até a Divisa,DURVALENO DEUSDARA BRITO,60
5.Samoa até a Divisa,Democracia Cristã,1
5.Samoa até a Divisa,EDICARLOS FELISMINO,280
5.Samoa até a Divisa,EDILSON TONON D ALMEIDA,417
5.Samoa até a Divisa,EDIMILSON JOAQUIM JUSTINIANO,3
5.Samoa até a Divisa,EDSON NASCIMENTO DA HORA JUNIOR,5
5.Samoa até a Divisa,EDUARDO ALVES MENNUCCI,51
5.Samoa até a Divisa,EDUARDO DA SILVA DUARTE,3
5.Samoa até a Divisa,EDUARDO SANTANA ROQUE DA SILVA,123
5.Samoa até a Divisa,ELAINE ALVES DE ARRUDA,14
5.Samoa até a Divisa,ELI DE SOUZA SILVA,5
5.Samoa até a Divisa,ELIANE MARÇAL LOPES,19
5.Samoa até a Divisa,ELISEU MARTINS DE JESUS GOMES,3
5.Samoa até a Divisa,ELIZABETH AUGUSTA SIMÕES,5
5.Samoa até a Divisa,FABIO DO CARMO CEZAR,2
5.Samoa até a Divisa,FABIO RIBEIRO ARENA,248
5.Samoa até a Divisa,FERNANDA RAMIRES KLAESENER,30
5.Samoa até a Divisa,FERNANDO ACCIOLY MONTEIRO DE ALCANTARA,188
5.Samoa até a Divisa,FERNANDO AUGUSTO DA ROCHA BRANCO FILHO,3
5.Samoa até a Divisa,FLAVIO ELEANDRO SANTANA PASSOS,68
5.Samoa até a Divisa,FRANCISCA AUDIRENE ROCHA PORTELA,4
5.Samoa até a Divisa,FRANCISCA ELIAS DA SILVA,25
5.Samoa até a Divisa,FRANCISCO DOUGLAS SANTOS CAMPOS,28
5.Samoa até a Divisa,FRANCISCO FRAGOSO,131
5.Samoa até a Divisa,FRANCISCO INALDO FALCÃO,42
5.Samoa até a Divisa,FRANCISCO LIMA DE MENDONÇA,2
5.Samoa até a Divisa,GABRIELLA TAVARES DE LIMA LELLIS E SILVA,84
5.Samoa até a Divisa,GEOVANA CRISTINA SALES DE LIMA,157
5.Samoa até a Divisa,GILBERTO GUEDES DO NASCIMENTO,1
5.Samoa até a Divisa,GILMAR AGUIAR FREITAS,45
5.Samoa até a Divisa,GLIMBER MATTOS DE CARVALHO,6
5.Samoa até a Divisa,GRAZIELA APARECIDA ROSA DE OLIVEIRA,12
5.Samoa até a Divisa,GUSTAVO RIBEIRO CORREIA,6
5.Samoa até a Divisa,IRACI FAVERO,12
5.Samoa até a Divisa,IVONETE DE LIMA SANTOS,47
5.Samoa até a Divisa,JEAN GABRIEL FIDELIS MOURA,5
5.Samoa até a Divisa,JOCY BARBOSA DA SILVA JUNIOR,54
5.Samoa até a Divisa,JONATHAN OLIVEIRA SILVA,100
5.Samoa até a Divisa,JOSE ENILDO DE SOUZA,48
5.Samoa até a Divisa,JOSE FRANCISCO BOAVENTURA,1
5.Samoa até a Divisa,JOSEFA VITORINO DA SILVA,4
5.Samoa até a Divisa,JOSÉ BENJAMIN OVIN VEGA JUNIOR,15
5.Samoa até a Divisa,JOSÉ CARLOS DOS SANTOS,12
5.Samoa até a Divisa,JOSÉ HELENO DOS SANTOS JUNIOR,16
5.Samoa até a Divisa,JOSÉ JORGE SALOMÃO TEXEIRA,84
5.Samoa até a Divisa,JOSÉ PEDRO FACCINA,197
5.Samoa até a Divisa,JOÃO CARLOS BATISTA DE SOUZA,102
5.Samoa até a Divisa,JOÃO MARTINS DOS ANJOS,10
5.Samoa até a Divisa,JURANDIR DE ALMEIDA FORTES,20
5.Samoa até a Divisa,KATE MIRANDA KOPCHAK,19
5.Samoa até a Divisa,KELLY DE LIRA CAPATTO,65
5.Samoa até a Divisa,LAÉRCIO PAIVA,11
5.Samoa até a Divisa,LEONARDO RODRIGO LIMA DOS SANTOS,6
5.Samoa até a Divisa,LIAMARA ZUBIA CHILA,42
5.Samoa até a Divisa,LILIAN CRISTIANE ALVES RIBEIRO,13
5.Samoa até a Divisa,LILIAN SOLEDAD DA SILVA DE SOUZA,76
5.Samoa até a Divisa,LIRIAN MARCIA DA CONCEIÇÃO TAFURI,2
5.Samoa até a Divisa,LOURDES DOS SANTOS,2
5.Samoa até a Divisa,LUCIANO LARA VIEIRA,83
5.Samoa até a Divisa,LUCIMARA SILVA LIRA,4
5.Samoa até a Divisa,LUIZ ALBERTO FERREIRA,4
5.Samoa até a Divisa,LUIZ BERBIZ DE OLIVEIRA,147
5.Samoa até a Divisa,LUIZ FELIPE DA SILVA,176
5.Samoa até a Divisa,LUIZ HUMBERTO MAZÃO JUNIOR,1
5.Samoa até a Divisa,MANOEL MESSIAS DE ALMEIDA,2
5.Samoa até a Divisa,MARCELO DA SILVA RAMOS,155
5.Samoa até a Divisa,MARCELO DOS SANTOS CONCEIÇÃO,10
5.Samoa até a Divisa,MARCELO PIRES FERREIRA,4
5.Samoa até a Divisa,MARCIA GERUSA DA SILVA LIMA,8
5.Samoa até a Divisa,MARCOS SIQUEIRA GONÇALVES,10
