NM_LOCAL_VOTACAO,NM_VOTAVEL,QT_VOTOS
1.Loty até Agenor,MARCIA DAS DORES SILVA,55
1.Loty até Agenor,PAULO WIAZOWSKI FILHO,5224
1.Loty até Agenor,RAFAEL LUIZ REDO GARCIA,3171
1.Loty até Agenor,RODRIGO CARDOSO BIAGIONI,3105
1.Loty até Agenor,VOTO BRANCO,514
1.Loty até Agenor,VOTO NULO,721
2.Jussara até Itaoca,MARCIA DAS DORES SILVA,13
2.Jussara até Itaoca,PAULO WIAZOWSKI FILHO,1253
2.Jussara até Itaoca,RAFAEL LUIZ REDO GARCIA,793
2.Jussara até Itaoca,RODRIGO CARDOSO BIAGIONI,818
2.Jussara até Itaoca,VOTO BRANCO,106
2.Jussara até Itaoca,VOTO NULO,163
3.Santa Eugenia até Seabra,MARCIA DAS DORES SILVA,25
3.Santa Eugenia até Seabra,PAULO WIAZOWSKI FILHO,2134
3.Santa Eugenia até Seabra,RAFAEL LUIZ REDO GARCIA,1126
3.Santa Eugenia até Seabra,RODRIGO CARDOSO BIAGIONI,1443
3.Santa Eugenia até Seabra,VOTO BRANCO,181
3.Santa Eugenia até Seabra,VOTO NULO,266
4.Atlantica até Aguapeu,MARCIA DAS DORES SILVA,30
4.Atlantica até Aguapeu,PAULO WIAZOWSKI FILHO,2496
4.Atlantica até Aguapeu,RAFAEL LUIZ REDO GARCIA,1819
4.Atlantica até Aguapeu,RODRIGO CARDOSO BIAGIONI,1802
4.Atlantica até Aguapeu,VOTO BRANCO,216
4.Atlantica até Aguapeu,VOTO NULO,308
5.Samoa até a Divisa,MARCIA DAS DORES SILVA,27
5.Samoa até a Divisa,PAULO WIAZOWSKI FILHO,3352
5.Samoa até a Divisa,RAFAEL LUIZ REDO GARCIA,2826
5.Samoa até a Divisa,RODRIGO CARDOSO BIAGIONI,2685
5.Samoa até a Divisa,VOTO BRANCO,258
5.Samoa até a Divisa,VOTO NULO,439
